Fecha_Registro,Hora,Condiciones meteorológicas,Temperatura,Viento,Humedad,Presión,Punto de rocío
1-julio-2024,00:45,Lluvia ligera,16°,9 km/h,94%,1026 hPa,15°
1-julio-2024,02:43,Lluvia,16°,13 km/h,88%,1024 hPa,14°
1-julio-2024,02:45,Cielo cubierto,16°,13 km/h,88%,1024 hPa,14°
1-julio-2024,03:30,Lluvia ligera,16°,11 km/h,88%,1023 hPa,14°
1-julio-2024,03:45,Lluvia ligera,15°,7 km/h,94%,1023 hPa,14°
1-julio-2024,04:51,Lluvia,15°,9 km/h,94%,1023 hPa,14°
1-julio-2024,05:49,Lluvia,14°,11 km/h,100%,1023 hPa,14°
1-julio-2024,06:49,Lluvia,14°,9 km/h,100%,1023 hPa,14°
1-julio-2024,07:11,Lluvia,15°,13 km/h,94%,1023 hPa,14°
1-julio-2024,07:44,Llovizna,15°,13 km/h,94%,1023 hPa,14°
1-julio-2024,08:33,Llovizna,15°,9 km/h,94%,1023 hPa,14°
1-julio-2024,08:48,Llovizna,15°,15 km/h,94%,1024 hPa,14°
1-julio-2024,09:46,Llovizna,15°,11 km/h,94%,1024 hPa,14°
1-julio-2024,09:58,Llovizna,15°,9 km/h,100%,1024 hPa,15°
1-julio-2024,10:15,Neblina,15°,7 km/h,94%,1024 hPa,14°
1-julio-2024,10:33,Llovizna,16°,En calma,94%,1025 hPa,15°
1-julio-2024,11:10,Lluvia ligera,16°,13 km/h,94%,1025 hPa,15°
1-julio-2024,12:45,Lluvia ligera,18°,13 km/h,83%,1025 hPa,15°
1-julio-2024,13:31,Lluvia,19°,15 km/h,78%,1025 hPa,15°
1-julio-2024,13:45,Neblina,19°,15 km/h,73%,1025 hPa,14°
1-julio-2024,14:45,Tormenta de polvo,19°,19 km/h,73%,1024 hPa,14°
1-julio-2024,15:00,Lluvia ligera,19°,19 km/h,73%,1024 hPa,14°
1-julio-2024,15:43,Neblina,20°,26 km/h,64%,1023 hPa,13°
1-julio-2024,15:49,Neblina,20°,22 km/h,64%,1023 hPa,13°
1-julio-2024,17:14,Lluvia ligera,18°,19 km/h,73%,1023 hPa,13°
1-julio-2024,17:33,Neblina,19°,7 km/h,68%,1023 hPa,13°
1-julio-2024,17:47,Neblina,19°,11 km/h,68%,1023 hPa,13°
1-julio-2024,18:53,Mayormente cubierto,21°,19 km/h,49%,1023 hPa,10°
1-julio-2024,18:54,Neblina,19°,11 km/h,60%,1023 hPa,11°
1-julio-2024,19:49,Neblina,18°,15 km/h,68%,1024 hPa,12°
1-julio-2024,21:52,Neblina,17°,En calma,77%,1025 hPa,13°
1-julio-2024,22:46,Mayormente cubierto,17°,9 km/h,77%,1026 hPa,13°
1-julio-2024,23:45,Mayormente cubierto,17°,9 km/h,77%,1027 hPa,13°
2-julio-2024,00:46,Mayormente cubierto,16°,11 km/h,82%,1027 hPa,13°
2-julio-2024,05:43,Neblina,16°,7 km/h,82%,1025 hPa,13°
2-julio-2024,06:49,Neblina,16°,En calma,82%,1026 hPa,13°
2-julio-2024,07:45,Neblina,16°,En calma,82%,1026 hPa,13°
2-julio-2024,08:46,Neblina,17°,11 km/h,72%,1027 hPa,12°
2-julio-2024,09:45,Neblina,18°,6 km/h,68%,1027 hPa,12°
2-julio-2024,10:47,Neblina,19°,13 km/h,68%,1027 hPa,13°
2-julio-2024,11:45,Neblina,20°,6 km/h,56%,1027 hPa,11°
2-julio-2024,12:15,Neblina,22°,En calma,50%,1027 hPa,11°
2-julio-2024,12:45,Neblina,21°,En calma,49%,1026 hPa,10°
2-julio-2024,12:48,Lluvia ligera,21°,En calma,49%,1026 hPa,10°
2-julio-2024,12:57,Lluvia prÃ³xima,21°,13 km/h,60%,1026 hPa,13°
